title,first_paragraph,links,timestamp
Luiz Inácio Lula da Silva,"Luiz Inácio Lula da Silva (nascido Luiz Inácio da Silva;[nota 2] Garanhuns,[nota 3] 27 de outubro de 1945), conhecido mononimamente como Lula, é um ex-metalúrgico, ex-sindicalista e político brasileiro, filiado ao Partido dos Trabalhadores (PT). É o 39.º presidente do Brasil desde 2023, havendo sido também o 35.º a ocupar o cargo, entre 2003 e 2011.","['https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva']",2026-04-04 00:08:06.386065
Luiz Inácio Lula da Silva,"Luiz Inácio Lula da Silva (nascido Luiz Inácio da Silva;[nota 2] Garanhuns,[nota 3] 27 de outubro de 1945), conhecido mononimamente como Lula, é um ex-metalúrgico, ex-sindicalista e político brasileiro, filiado ao Partido dos Trabalhadores (PT). É o 39.º presidente do Brasil desde 2023, havendo sido também o 35.º a ocupar o cargo, entre 2003 e 2011.","['https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva']",2026-04-04 00:08:06.950258
Portal:Índice,Portais destacados · Diretório de portais · !Todos os portais · Portais em construção · Projetos por tema,[],2026-04-04 00:08:07.970713
Portal:Eventos atuais,Sobre o portal,[],2026-04-04 00:08:08.051363
Discussão:Luiz Inácio Lula da Silva,O principal objectivo do WikiProjecto Biografias é criar artigos sobre pessoas e zelar pela política de biografia de pessoas vivas.,['https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva'],2026-04-04 00:08:08.079394
Wikipédia:Sobre a Wikipédia,"Wikipédia é uma enciclopédia livre de amplo escopo que está a ser construída por milhares de colaboradores de todas as partes do mundo. Este é um site baseado no conceito de wiki wiki, o que significa que qualquer internauta, inclusive você, pode editar o conteúdo de quase todos os artigos acionando o link ""Editar"" (nas abas de conteúdo) que é mostrado em quase todas as páginas do site. Em outras palavras, nós formamos a Wikipédia.",[],2026-04-04 00:08:08.114276
Ajuda:Informe um erro,Notificar um erro numa página da Wikipédia,[],2026-04-04 00:08:08.153004
Wikipédia:Esplanada,13/fev/2026 — O utilizador Little Sunshine é eleito verificador de contas.,[],2026-04-04 00:08:08.221933
Wikipédia:Portal comunitário,"Nenhum, de momento",[],2026-04-04 00:08:08.307745
Wikipédia:Contato,"Bem-vindo(a) à Wikipédia, uma enciclopédia escrita em colaboração pelos seus leitores. Estas páginas pretendem te orientar sobre como contactar a comunidade lusófona e também saber mais sobre o projeto.",[],2026-04-04 00:08:08.335168
Portal:Conteúdo destacado,Conteúdo destacado representa o melhor que a Wikipédia tem a oferecer. Esta página faz ligações com todos os conteúdos destacados da Wikipédia e apresenta um exemplo de cada tipo de conteúdo selecionado aleatoriamente.,[],2026-04-04 00:08:08.358156
Wikipédia:Boas-vindas,"A Wikipédia em língua portuguesa começou em junho de 2001, criada pela Fundação Wikimedia. Como todo o projeto da fundação, busca um mundo em que cada ser humano tenha livre acesso à soma de todos os conhecimentos. Assim, incentiva que todos editem e tenham acesso a esse conteúdo, na medida em que disponibiliza todo seu acervo sob licenças livres. Para manter-se transparente, todas as alterações ficam gravadas nos históricos de edição. Parte do Movimento Wikimedia, a comunidade vem crescendo diariamente. Porém, precisamos de mais colaboradores para podermos ampliar o número de artigos em língua portuguesa e expandir, melhorar e consolidar os que já existem.",[],2026-04-04 00:08:08.383802
Luiz Inácio Lula da Silva,"Luiz Inácio Lula da Silva (nascido Luiz Inácio da Silva;[nota 2] Garanhuns,[nota 3] 27 de outubro de 1945), conhecido mononimamente como Lula, é um ex-metalúrgico, ex-sindicalista e político brasileiro, filiado ao Partido dos Trabalhadores (PT). É o 39.º presidente do Brasil desde 2023, havendo sido também o 35.º a ocupar o cargo, entre 2003 e 2011.","['https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva', 'https://pt.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva']",2026-04-04 00:08:08.781448
Wikipédia:Página principal,a enciclopédia livre que todos podem editar.,[],2026-04-04 00:08:08.836010
Wikipédia:Manutenção,"O conteúdo a seguir está dividido em seções que constituem as frentes de trabalho de manutenção, havendo ainda uma seção no final da página que contém ligações para projetos de manutenção específicos.",[],2026-04-04 00:08:08.890726
